,,,,,,,Playing Time,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Expected,Expected,Expected,Expected,Progression,Progression,Progression,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes
Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG
221,Ben Johnson,ENG,"DF,FW",Ipswich Town,24-328,2000,8,5,500,5.6,0,1,1,0,0,0,1,0,0.0,0.0,0.4,0.4,8,13,9,0.00,0.18,0.18,0.00,0.18,0.01,0.07,0.08,0.01,0.08
222,Brennan Johnson,WAL,FW,Tottenham,23-208,2001,16,13,1171,13.0,6,1,7,6,0,0,3,0,7.1,7.1,0.8,7.8,38,34,123,0.46,0.08,0.54,0.46,0.54,0.54,0.06,0.60,0.54,0.60
223,Sam Johnstone,ENG,GK,Wolves,31-267,1993,7,7,630,7.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
224,Curtis Jones,ENG,MF,Liverpool,23-322,2001,12,7,637,7.1,2,1,3,2,0,0,1,0,1.9,1.9,0.2,2.1,9,40,26,0.28,0.14,0.42,0.28,0.42,0.27,0.03,0.30,0.27,0.30
225,Jorginho,ITA,MF,Arsenal,32-363,1991,8,5,393,4.4,0,0,0,0,0,0,3,0,0.0,0.0,0.2,0.2,8,29,2,0.00,0.00,0.00,0.00,0.00,0.01,0.04,0.05,0.01,0.05
226,Diogo Jota,POR,FW,Liverpool,28-013,1996,8,7,504,5.6,3,2,5,3,0,0,1,0,3.1,3.1,1.1,4.2,16,7,37,0.54,0.36,0.89,0.54,0.89,0.55,0.20,0.75,0.55,0.75
227,James Justin,ENG,DF,Leicester City,26-298,1998,15,15,1342,14.9,2,1,3,2,0,0,2,0,0.6,0.6,0.3,1.0,18,38,33,0.13,0.07,0.20,0.13,0.20,0.04,0.02,0.07,0.04,0.07
228,Filip Jørgensen,DEN,GK,Chelsea,22-245,2002,1,1,90,1.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
229,Ferdi Kadioglu,TUR,"DF,MF",Brighton,25-071,1999,6,5,385,4.3,1,0,1,1,0,0,1,0,0.4,0.4,0.2,0.6,1,15,27,0.23,0.00,0.23,0.23,0.23,0.10,0.04,0.14,0.10,0.14
230,Daichi Kamada,JPN,MF,Crystal Palace,28-134,1996,12,7,651,7.2,0,0,0,0,0,0,2,1,0.6,0.6,1.0,1.5,13,43,30,0.00,0.00,0.00,0.00,0.00,0.08,0.14,0.21,0.08,0.21
231,Boubacar Kamara,FRA,MF,Aston Villa,25-024,1999,7,4,346,3.8,0,0,0,0,0,0,1,0,0.0,0.0,0.1,0.1,4,16,1,0.00,0.00,0.00,0.00,0.00,0.00,0.02,0.02,0.00,0.02
232,Michael Keane,ENG,DF,Everton,31-341,1993,9,9,810,9.0,2,0,2,2,0,0,4,0,0.4,0.4,0.1,0.5,1,12,3,0.22,0.00,0.22,0.22,0.22,0.05,0.01,0.06,0.05,0.06
233,Caoimhín Kelleher,IRL,GK,Liverpool,26-024,1998,8,8,720,8.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
234,Lloyd Kelly,ENG,DF,Newcastle Utd,26-072,1998,8,4,298,3.3,0,1,1,0,0,0,2,0,0.4,0.4,0.5,0.8,0,9,2,0.00,0.30,0.30,0.00,0.30,0.11,0.14,0.25,0.11,0.25
235,Milos Kerkez,HUN,DF,Bournemouth,21-040,2003,16,16,1367,15.2,1,2,3,1,0,0,2,0,0.3,0.2,2.5,2.7,39,70,70,0.07,0.13,0.20,0.07,0.20,0.02,0.16,0.18,0.01,0.17
236,Bilal El Khannouss,MAR,"MF,FW",Leicester City,20-221,2004,11,6,514,5.7,1,1,2,1,0,0,0,0,0.2,0.2,1.5,1.8,12,39,18,0.18,0.18,0.35,0.18,0.35,0.04,0.27,0.31,0.04,0.31
237,Max Kilman,ENG,DF,West Ham,27-208,1997,16,16,1440,16.0,0,1,1,0,0,0,3,0,1.4,1.4,0.5,1.9,13,68,2,0.00,0.06,0.06,0.00,0.06,0.09,0.03,0.12,0.09,0.12
238,Joshua King,ENG,MF,Fulham,17-349,2007,1,0,11,0.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
239,Jakub Kiwior,POL,DF,Arsenal,24-306,2000,8,2,327,3.6,0,0,0,0,0,0,0,0,0.0,0.0,0.1,0.1,1,8,0,0.00,0.00,0.00,0.00,0.00,0.00,0.02,0.02,0.00,0.02
240,Justin Kluivert,NED,"MF,FW",Bournemouth,25-226,1999,16,13,979,10.9,5,2,7,1,4,4,4,0,5.2,2.1,2.0,4.1,26,39,76,0.46,0.18,0.64,0.09,0.28,0.48,0.19,0.67,0.19,0.38
241,Ibrahima Konaté,FRA,DF,Liverpool,25-206,1999,12,11,974,10.8,1,1,2,1,0,0,4,0,0.8,0.8,0.2,1.0,5,35,1,0.09,0.09,0.18,0.09,0.18,0.08,0.02,0.10,0.08,0.10
242,Ezri Konsa,ENG,DF,Aston Villa,27-055,1997,14,14,1181,13.1,1,0,1,1,0,0,0,0,0.6,0.6,0.1,0.7,11,39,7,0.08,0.00,0.08,0.08,0.08,0.04,0.01,0.06,0.04,0.06
243,Mateo Kovačić,CRO,MF,Manchester City,30-225,1994,12,10,902,10.0,3,0,3,3,0,0,3,0,1.0,1.0,1.6,2.6,32,62,11,0.30,0.00,0.30,0.30,0.30,0.10,0.16,0.26,0.10,0.26
244,Caleb Kporha,ENG,DF,Crystal Palace,18-155,2006,1,0,3,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,1,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
245,Emil Krafth,SWE,DF,Newcastle Utd,30-137,1994,3,2,241,2.7,0,0,0,0,0,0,0,0,0.0,0.0,0.1,0.1,0,1,0,0.00,0.00,0.00,0.00,0.00,0.01,0.03,0.05,0.01,0.05
246,Mohammed Kudus,GHA,"MF,FW",West Ham,24-137,2000,11,11,901,10.0,2,1,3,2,0,0,0,1,3.1,3.1,1.4,4.6,42,34,91,0.20,0.10,0.30,0.20,0.30,0.31,0.14,0.46,0.31,0.46
247,Dejan Kulusevski,SWE,"MF,FW",Tottenham,24-236,2000,16,14,1230,13.7,4,3,7,4,0,0,3,0,2.0,2.0,3.7,5.8,71,69,116,0.29,0.22,0.51,0.29,0.51,0.15,0.27,0.42,0.15,0.42
248,Maxence Lacroix,FRA,DF,Crystal Palace,24-255,2000,13,13,1170,13.0,1,1,2,1,0,0,3,0,1.2,1.2,0.3,1.5,3,31,1,0.08,0.08,0.15,0.08,0.15,0.09,0.02,0.12,0.09,0.12
249,Adam Lallana,ENG,MF,Southampton,36-221,1988,8,5,315,3.5,0,2,2,0,0,0,4,0,0.2,0.2,0.9,1.0,5,22,8,0.00,0.57,0.57,0.00,0.57,0.05,0.25,0.30,0.05,0.30
250,Tariq Lamptey,GHA,DF,Brighton,24-078,2000,5,3,236,2.6,1,2,3,1,0,0,0,0,0.1,0.1,0.4,0.5,10,4,16,0.38,0.76,1.14,0.38,1.14,0.04,0.15,0.19,0.04,0.19
251,Will Lankshear,ENG,FW,Tottenham,19-241,2005,2,0,10,0.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
252,Roméo Lavia,BEL,MF,Chelsea,20-346,2004,9,7,477,5.3,0,1,1,0,0,0,3,0,0.2,0.2,0.7,0.9,2,17,6,0.00,0.19,0.19,0.00,0.19,0.03,0.13,0.16,0.03,0.16
253,Mario Lemina,GAB,"MF,DF",Wolves,31-107,1993,16,15,1332,14.8,1,3,4,1,0,0,4,0,1.4,1.4,1.1,2.5,8,45,20,0.07,0.20,0.27,0.07,0.27,0.09,0.08,0.17,0.09,0.17
254,Bernd Leno,GER,GK,Fulham,32-288,1992,16,16,1440,16.0,0,1,1,0,0,0,2,0,0.0,0.0,0.1,0.1,0,0,0,0.00,0.06,0.06,0.00,0.06,0.00,0.00,0.00,0.00,0.00
255,Jefferson Lerma,COL,MF,Crystal Palace,30-053,1994,12,8,757,8.4,0,0,0,0,0,0,4,0,0.4,0.4,0.9,1.3,5,40,16,0.00,0.00,0.00,0.00,0.00,0.05,0.11,0.15,0.05,0.15
256,Rico Lewis,ENG,"DF,MF",Manchester City,20-026,2004,14,12,1023,11.4,1,2,3,1,0,0,4,1,1.1,1.1,0.3,1.3,27,57,49,0.09,0.18,0.26,0.09,0.26,0.09,0.02,0.12,0.09,0.12
257,Keane Lewis-Potter,ENG,"DF,FW",Brentford,23-299,2001,16,14,1199,13.3,0,1,1,0,0,0,3,0,0.9,0.9,1.1,2.0,41,37,74,0.00,0.08,0.08,0.00,0.08,0.07,0.08,0.15,0.07,0.15
258,Myles Lewis-Skelly,ENG,DF,Arsenal,18-082,2006,3,1,84,0.9,0,0,0,0,0,0,1,0,0.0,0.0,0.1,0.1,1,8,2,0.00,0.00,0.00,0.00,0.00,0.00,0.08,0.08,0.00,0.08
259,Matthijs de Ligt,NED,DF,Manchester Utd,25-127,1999,16,13,1139,12.7,1,0,1,1,0,0,2,0,1.2,1.2,0.1,1.3,3,23,3,0.08,0.00,0.08,0.08,0.08,0.10,0.01,0.10,0.10,0.10
260,Victor Lindelöf,SWE,"DF,MF",Manchester Utd,30-153,1994,5,0,63,0.7,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0,5,1,0.00,0.00,0.00,0.00,0.00,0.00,0.03,0.03,0.00,0.03
261,Jesper Lindstrøm,DEN,FW,Everton,24-292,2000,11,6,519,5.8,0,0,0,0,0,0,0,0,1.4,1.4,0.9,2.3,16,9,35,0.00,0.00,0.00,0.00,0.00,0.24,0.16,0.40,0.24,0.40
262,Valentino Livramento,ENG,DF,Newcastle Utd,22-035,2002,16,13,1134,12.6,0,0,0,0,0,0,0,0,0.0,0.0,0.5,0.6,27,55,47,0.00,0.00,0.00,0.00,0.00,0.00,0.04,0.04,0.00,0.04
263,Sean Longstaff,ENG,MF,Newcastle Utd,27-048,1997,15,8,688,7.6,0,0,0,0,0,0,2,0,0.6,0.6,0.2,0.8,4,38,20,0.00,0.00,0.00,0.00,0.00,0.08,0.02,0.10,0.08,0.10
264,Saša Lukić,SRB,MF,Fulham,28-126,1996,11,11,877,9.7,0,0,0,0,0,0,6,0,0.0,0.0,0.5,0.5,14,40,4,0.00,0.00,0.00,0.00,0.00,0.00,0.05,0.06,0.00,0.06
265,Joe Lumley,ENG,GK,Southampton,29-306,1995,3,3,270,3.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
266,Massimo Luongo,AUS,MF,Ipswich Town,32-083,1992,5,2,143,1.6,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,4,1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
267,Ian Maatsen,NED,DF,Aston Villa,22-282,2002,13,2,290,3.2,0,0,0,0,0,0,1,0,0.1,0.1,1.1,1.2,8,16,26,0.00,0.00,0.00,0.00,0.00,0.02,0.34,0.37,0.02,0.37
268,Alexis Mac Allister,ARG,MF,Liverpool,25-359,1998,14,12,986,11.0,0,0,0,0,0,0,5,0,0.6,0.6,1.4,2.0,13,61,31,0.00,0.00,0.00,0.00,0.00,0.05,0.13,0.18,0.05,0.18
269,James Maddison,ENG,MF,Tottenham,28-024,1996,16,13,1025,11.4,7,4,11,7,0,0,3,0,4.5,4.5,2.6,7.1,25,86,59,0.61,0.35,0.97,0.61,0.97,0.40,0.23,0.63,0.40,0.63
270,Noni Madueke,ENG,FW,Chelsea,22-282,2002,15,13,1024,11.4,5,3,8,5,0,0,3,0,5.0,5.0,2.6,7.6,78,44,118,0.44,0.26,0.70,0.44,0.70,0.44,0.22,0.67,0.44,0.67
271,Gabriel Magalhães,BRA,DF,Arsenal,26-364,1997,14,14,1178,13.1,3,0,3,3,0,0,1,0,1.7,1.7,0.4,2.1,5,56,8,0.23,0.00,0.23,0.23,0.23,0.13,0.03,0.16,0.13,0.16
272,Edmond-Paris Maghoma,ENG,MF,Brentford,23-223,2001,2,0,28,0.3,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,3,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
273,Harry Maguire,ENG,DF,Manchester Utd,31-287,1993,9,5,450,5.0,0,0,0,0,0,0,4,0,0.0,0.0,0.1,0.1,1,19,0,0.00,0.00,0.00,0.00,0.00,0.01,0.01,0.02,0.01,0.02
274,Kobbie Mainoo,ENG,MF,Manchester Utd,19-242,2005,10,9,817,9.1,0,0,0,0,0,0,5,0,0.2,0.2,0.9,1.1,11,36,16,0.00,0.00,0.00,0.00,0.00,0.03,0.09,0.12,0.03,0.12
275,Tyrell Malacia,NED,DF,Manchester Utd,25-122,1999,1,1,45,0.5,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,2,1,3,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
276,Orel Mangala,BEL,MF,Everton,26-274,1998,12,7,676,7.5,1,0,1,1,0,0,1,0,0.4,0.4,0.5,0.9,4,23,12,0.13,0.00,0.13,0.13,0.13,0.05,0.07,0.12,0.05,0.12
277,Ryan Manning,IRL,DF,Southampton,28-186,1996,9,9,659,7.3,0,0,0,0,0,0,1,0,0.1,0.1,1.2,1.3,9,6,41,0.00,0.00,0.00,0.00,0.00,0.02,0.16,0.18,0.02,0.18
278,Gabriel Martinelli,BRA,"MF,FW",Arsenal,23-182,2001,14,10,856,9.5,3,2,5,3,0,0,1,0,2.3,2.3,1.8,4.2,53,17,117,0.32,0.21,0.53,0.32,0.53,0.25,0.19,0.44,0.25,0.44
279,Emiliano Martínez,ARG,GK,Aston Villa,32-106,1992,16,16,1395,15.5,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
280,Lisandro Martínez,ARG,DF,Manchester Utd,26-334,1998,13,13,1156,12.8,0,1,1,0,0,0,5,0,0.9,0.9,0.7,1.7,12,79,6,0.00,0.08,0.08,0.00,0.08,0.07,0.06,0.13,0.07,0.13
281,Pape Matar Sarr,SEN,MF,Tottenham,22-094,2002,16,9,854,9.5,1,2,3,1,0,0,3,0,1.5,1.5,1.2,2.7,13,49,30,0.11,0.21,0.32,0.11,0.32,0.16,0.13,0.29,0.16,0.29
282,Jean-Philippe Mateta,FRA,FW,Crystal Palace,27-172,1997,16,14,1173,13.0,4,1,5,3,1,1,2,0,4.3,3.5,1.7,5.3,15,21,57,0.31,0.08,0.38,0.23,0.31,0.33,0.13,0.46,0.27,0.40
283,Stephy Mavididi,ENG,"FW,MF",Leicester City,26-200,1998,15,8,760,8.4,2,0,2,2,0,0,2,0,1.1,1.1,1.0,2.1,38,37,67,0.24,0.00,0.24,0.24,0.24,0.13,0.12,0.24,0.13,0.24
284,Konstantinos Mavropanos,GRE,DF,West Ham,27-006,1997,13,10,954,10.6,0,0,0,0,0,0,1,0,0.9,0.9,0.3,1.2,10,33,2,0.00,0.00,0.00,0.00,0.00,0.09,0.03,0.11,0.09,0.11
285,Noussair Mazraoui,MAR,DF,Manchester Utd,27-033,1997,16,14,1159,12.9,0,1,1,0,0,0,1,0,0.2,0.2,0.2,0.5,17,53,20,0.00,0.08,0.08,0.00,0.08,0.02,0.02,0.04,0.02,0.04
286,Bryan Mbeumo,CMR,FW,Brentford,25-132,1999,16,16,1434,15.9,10,2,12,8,2,2,2,0,4.8,3.2,3.0,6.2,44,54,159,0.63,0.13,0.75,0.50,0.63,0.30,0.19,0.49,0.20,0.39
287,James Mcatee,ENG,"FW,MF",Manchester City,22-060,2002,2,0,2,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
288,Kasey McAteer,IRL,"FW,MF",Leicester City,23-025,2001,9,4,334,3.7,0,1,1,0,0,0,0,0,0.6,0.6,0.1,0.7,12,4,30,0.00,0.27,0.27,0.00,0.27,0.15,0.04,0.19,0.15,0.19
289,Alex McCarthy,ENG,GK,Southampton,35-014,1989,4,4,360,4.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
290,John McGinn,SCO,"FW,MF",Aston Villa,30-060,1994,14,12,977,10.9,0,2,2,0,0,0,2,0,1.8,1.8,2.1,4.0,15,48,46,0.00,0.18,0.18,0.00,0.18,0.17,0.20,0.37,0.17,0.37
291,Dwight McNeil,ENG,"MF,FW",Everton,25-025,1999,13,13,1140,12.7,3,3,6,3,0,0,1,0,0.9,0.9,3.5,4.4,31,60,65,0.24,0.24,0.47,0.24,0.47,0.07,0.27,0.34,0.07,0.34
292,Scott McTominay,SCO,MF,Manchester Utd,28-009,1996,2,0,19,0.2,0,0,0,0,0,0,0,0,0.1,0.1,0.0,0.1,0,1,2,0.00,0.00,0.00,0.00,0.00,0.33,0.00,0.33,0.33,0.33
293,Ben Mee,ENG,"DF,MF",Brentford,35-087,1989,3,0,9,0.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
294,Jayden Meghoma,ENG,DF,Brentford,18-172,2006,1,0,5,0.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
295,Mikel Merino,ESP,MF,Arsenal,28-178,1996,9,5,475,5.3,1,0,1,1,0,0,1,0,1.3,1.3,0.8,2.0,2,22,25,0.19,0.00,0.19,0.19,0.19,0.24,0.15,0.39,0.24,0.39
296,Nikola Milenković,SRB,DF,Nott'ham Forest,27-066,1997,15,15,1350,15.0,2,1,3,2,0,0,2,0,2.5,2.5,0.2,2.8,2,23,2,0.13,0.07,0.20,0.13,0.20,0.17,0.02,0.18,0.17,0.18
297,James Milner,ENG,MF,Brighton,38-348,1986,3,3,169,1.9,0,0,0,0,0,0,1,0,0.2,0.2,0.2,0.4,1,10,10,0.00,0.00,0.00,0.00,0.00,0.09,0.12,0.21,0.09,0.21
298,Tyrone Mings,ENG,DF,Aston Villa,31-279,1993,1,1,90,1.0,0,0,0,0,0,0,0,0,0.2,0.2,0.0,0.2,0,2,0,0.00,0.00,0.00,0.00,0.00,0.16,0.00,0.16,0.16,0.16
299,Yankuba Minteh,GAM,"FW,MF",Brighton,20-148,2004,11,6,512,5.7,2,1,3,2,0,0,2,0,1.2,1.2,1.6,2.9,22,13,63,0.35,0.18,0.53,0.35,0.53,0.22,0.28,0.50,0.22,0.50
300,Tyrick Mitchell,ENG,DF,Crystal Palace,25-107,1999,16,16,1384,15.4,0,2,2,0,0,0,2,0,0.3,0.3,2.7,3.0,30,34,90,0.00,0.13,0.13,0.00,0.13,0.02,0.17,0.20,0.02,0.20
301,Kaoru Mitoma,JPN,"FW,MF",Brighton,27-211,1997,16,15,1363,15.1,3,2,5,3,0,0,0,0,3.9,3.9,3.4,7.2,82,51,162,0.20,0.13,0.33,0.20,0.33,0.26,0.22,0.48,0.26,0.48
302,Jakub Moder,POL,MF,Brighton,25-254,1999,2,0,5,0.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,2,3,0,0.00,0.00,0.00,0.00,0.00,0.00,0.12,0.12,0.00,0.12
303,Mikey Moore,ENG,FW,Tottenham,17-128,2007,4,1,85,0.9,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,5,3,12,0.00,0.00,0.00,0.00,0.00,0.04,0.00,0.04,0.04,0.04
304,Morato,BRA,DF,Nott'ham Forest,23-170,2001,9,0,174,1.9,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,5,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
305,Álex Moreno,ESP,DF,Nott'ham Forest,31-192,1993,11,10,788,8.8,0,1,1,0,0,0,2,0,0.2,0.2,1.0,1.1,20,28,24,0.00,0.11,0.11,0.00,0.11,0.02,0.11,0.13,0.02,0.13
306,Sam Morsy,EGY,MF,Ipswich Town,33-098,1991,15,15,1343,14.9,1,1,2,1,0,0,4,0,0.3,0.3,0.5,0.8,7,65,7,0.07,0.07,0.13,0.07,0.13,0.02,0.03,0.05,0.02,0.05
307,Yerson Mosquera,COL,DF,Wolves,23-229,2001,5,5,441,4.9,0,0,0,0,0,0,2,0,0.3,0.3,0.1,0.4,0,7,0,0.00,0.00,0.00,0.00,0.00,0.07,0.02,0.09,0.07,0.09
308,Mason Mount,ENG,"MF,FW",Manchester Utd,25-342,1999,8,4,247,2.7,0,0,0,0,0,0,2,0,0.4,0.4,0.1,0.5,2,8,5,0.00,0.00,0.00,0.00,0.00,0.14,0.04,0.18,0.14,0.18
309,Mykhailo Mudryk,UKR,FW,Chelsea,23-347,2001,7,1,151,1.7,0,0,0,0,0,0,0,0,0.3,0.3,1.0,1.2,7,5,12,0.00,0.00,0.00,0.00,0.00,0.15,0.58,0.73,0.15,0.73
310,Rodrigo Muniz,BRA,FW,Fulham,23-227,2001,15,4,472,5.2,2,1,3,2,0,0,1,0,1.9,1.9,0.6,2.5,3,11,17,0.38,0.19,0.57,0.38,0.57,0.36,0.12,0.47,0.36,0.47
311,Daniel Muñoz,COL,DF,Crystal Palace,28-205,1996,16,16,1353,15.0,2,1,3,2,0,0,5,0,2.7,2.7,1.7,4.4,23,38,93,0.13,0.07,0.20,0.13,0.20,0.18,0.11,0.29,0.18,0.29
312,Arijanet Muric,KVX,GK,Ipswich Town,26-040,1998,15,15,1350,15.0,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
313,Murillo,BRA,DF,Nott'ham Forest,22-166,2002,16,16,1417,15.7,1,0,1,1,0,0,2,0,1.0,1.0,0.9,1.9,11,47,3,0.06,0.00,0.06,0.06,0.06,0.06,0.06,0.12,0.06,0.12
314,Jacob Murphy,ENG,FW,Newcastle Utd,29-297,1995,13,9,714,7.9,2,4,6,2,0,0,2,0,1.7,1.7,2.2,3.9,28,35,64,0.25,0.50,0.76,0.25,0.76,0.21,0.28,0.49,0.21,0.49
315,Vitaliy Mykolenko,UKR,DF,Everton,25-202,1999,13,13,1105,12.3,0,0,0,0,0,0,1,0,0.3,0.3,0.3,0.6,10,39,29,0.00,0.00,0.00,0.00,0.00,0.02,0.03,0.05,0.02,0.05
316,Iliman Ndiaye,SEN,FW,Everton,24-286,2000,15,13,1166,13.0,2,0,2,2,0,0,1,0,1.1,1.1,0.6,1.7,53,26,63,0.15,0.00,0.15,0.15,0.15,0.08,0.05,0.13,0.08,0.13
317,Wilfred Ndidi,NGA,MF,Leicester City,28-001,1996,15,15,1215,13.5,0,4,4,0,0,0,4,0,1.4,1.4,1.4,2.8,9,37,49,0.00,0.30,0.30,0.00,0.30,0.10,0.10,0.20,0.10,0.20
318,Kosta Nedeljković,SRB,DF,Aston Villa,19-001,2005,3,0,96,1.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,1,3,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
319,Reiss Nelson,ENG,FW,Arsenal,25-007,1999,1,0,3,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
320,Reiss Nelson,ENG,FW,Fulham,25-007,1999,11,5,487,5.4,1,1,2,1,0,0,1,0,1.1,1.1,1.0,2.1,45,35,63,0.18,0.18,0.37,0.18,0.37,0.20,0.18,0.39,0.20,0.39
321,Neto,BRA,GK,Bournemouth,35-151,1989,2,2,180,2.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
322,Pedro Neto,POR,FW,Chelsea,24-283,2000,13,7,733,8.1,1,2,3,1,0,0,5,0,0.5,0.5,2.4,3.0,46,11,81,0.12,0.25,0.37,0.12,0.37,0.06,0.30,0.36,0.06,0.36
323,Eddie Nketiah,ENG,"MF,FW",Crystal Palace,25-201,1999,11,6,549,6.1,0,1,1,0,0,0,2,0,1.4,1.4,1.3,2.7,25,9,45,0.00,0.16,0.16,0.00,0.16,0.23,0.21,0.44,0.23,0.44
324,Christopher Nkunku,FRA,FW,Chelsea,27-033,1997,15,2,305,3.4,2,1,3,2,0,0,1,0,3.0,3.0,1.5,4.4,7,9,28,0.59,0.30,0.89,0.59,0.89,0.87,0.43,1.30,0.87,1.30
325,Matheus Nunes,POR,"MF,FW",Manchester City,26-112,1998,12,6,530,5.9,0,3,3,0,0,0,1,0,0.2,0.2,1.9,2.0,30,26,86,0.00,0.51,0.51,0.00,0.51,0.03,0.31,0.34,0.03,0.34
326,Darwin Núñez,URU,FW,Liverpool,25-176,1999,12,6,645,7.2,2,2,4,2,0,0,4,0,2.2,2.2,0.9,3.1,14,14,44,0.28,0.28,0.56,0.28,0.56,0.30,0.13,0.43,0.30,0.43
327,Ethan Nwaneri,ENG,"MF,FW",Arsenal,17-271,2007,9,0,112,1.2,1,0,1,1,0,0,0,0,0.2,0.2,0.2,0.3,7,6,8,0.80,0.00,0.80,0.80,0.80,0.13,0.14,0.26,0.13,0.26
328,Christian Nørgaard,DEN,MF,Brentford,30-282,1994,13,13,1064,11.8,1,2,3,1,0,0,2,1,1.7,1.7,0.4,2.2,5,53,14,0.08,0.17,0.25,0.08,0.25,0.14,0.04,0.18,0.14,0.18
329,Jake O'Brien,IRL,DF,Everton,23-216,2001,2,0,36,0.4,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
330,Matt O'Riley,DEN,MF,Brighton,24-026,2000,5,2,221,2.5,1,0,1,1,0,0,1,0,0.7,0.7,0.4,1.1,3,10,10,0.41,0.00,0.41,0.41,0.41,0.28,0.18,0.46,0.28,0.46
331,Dara O'Shea,IRL,DF,Ipswich Town,25-288,1999,13,13,1142,12.7,0,0,0,0,0,0,3,0,0.6,0.6,0.0,0.6,2,32,1,0.00,0.00,0.00,0.00,0.00,0.04,0.00,0.04,0.04,0.04
332,Wilson Odobert,FRA,FW,Tottenham,20-019,2004,3,2,162,1.8,0,0,0,0,0,0,0,0,0.4,0.4,0.1,0.5,13,10,18,0.00,0.00,0.00,0.00,0.00,0.23,0.03,0.27,0.23,0.27
333,Chiedozie Ogbene,IRL,FW,Ipswich Town,27-230,1997,5,3,238,2.6,0,0,0,0,0,0,0,0,0.0,0.0,0.1,0.1,7,0,15,0.00,0.00,0.00,0.00,0.00,0.00,0.03,0.03,0.00,0.03
