,,,,,,,Playing Time,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Expected,Expected,Expected,Expected,Progression,Progression,Progression,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes
Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG
55,Ben Brereton,CHI,FW,Southampton,25-243,1999,10,4,449,5.0,0,0,0,0,0,0,1,0,0.9,0.9,0.1,1.0,12,9,42,0.00,0.00,0.00,0.00,0.00,0.18,0.02,0.20,0.18,0.20
56,Nathan Broadhead,WAL,"FW,MF",Ipswich Town,26-256,1998,2,0,37,0.4,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,1,0,2,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
57,Armando Broja,ALB,FW,Everton,23-098,2001,2,0,33,0.4,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,3,0,6,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
58,David Brooks,WAL,"FW,MF",Bournemouth,27-162,1997,9,1,174,1.9,1,0,1,1,0,0,1,0,0.5,0.5,0.6,1.2,8,9,32,0.52,0.00,0.52,0.52,0.52,0.27,0.33,0.61,0.27,0.61
59,Emi Buendía,ARG,"MF,FW",Aston Villa,27-358,1996,7,0,43,0.5,0,0,0,0,0,0,1,0,0.1,0.1,0.0,0.1,2,5,5,0.00,0.00,0.00,0.00,0.00,0.18,0.04,0.22,0.18,0.22
60,Santiago Bueno,URU,DF,Wolves,26-038,1998,9,8,701,7.8,0,0,0,0,0,0,0,0,0.2,0.2,0.0,0.2,1,14,1,0.00,0.00,0.00,0.00,0.00,0.03,0.00,0.03,0.03,0.03
61,Facundo Buonanotte,ARG,"MF,FW",Leicester City,19-360,2004,13,10,915,10.2,4,2,6,4,0,0,5,0,3.2,3.2,2.6,5.8,27,33,41,0.39,0.20,0.59,0.39,0.59,0.31,0.26,0.57,0.31,0.57
62,Cameron Burgess,AUS,DF,Ipswich Town,29-057,1995,8,8,720,8.0,0,1,1,0,0,0,0,0,0.6,0.6,0.3,0.9,2,22,3,0.00,0.12,0.12,0.00,0.12,0.07,0.04,0.12,0.07,0.12
63,Dan Burn,ENG,DF,Newcastle Utd,32-222,1992,15,15,1350,15.0,0,0,0,0,0,0,5,0,0.7,0.7,0.2,0.9,0,19,3,0.00,0.00,0.00,0.00,0.00,0.05,0.01,0.06,0.05,0.06
64,Wes Burns,WAL,FW,Ipswich Town,30-024,1994,13,8,655,7.3,0,1,1,0,0,0,1,0,0.3,0.3,1.6,1.9,26,3,53,0.00,0.14,0.14,0.00,0.14,0.05,0.22,0.26,0.05,0.26
65,Moisés Caicedo,ECU,"MF,DF",Chelsea,23-045,2001,16,16,1415,15.7,1,2,3,1,0,0,3,0,0.4,0.4,2.0,2.4,15,80,20,0.06,0.13,0.19,0.06,0.19,0.03,0.13,0.15,0.03,0.15
66,Tom Cairney,SCO,MF,Fulham,33-332,1991,10,0,178,2.0,1,0,1,1,0,0,2,1,0.0,0.0,0.5,0.5,4,27,11,0.51,0.00,0.51,0.51,0.51,0.02,0.25,0.26,0.02,0.26
67,Jens Cajuste,SWE,MF,Ipswich Town,25-129,1999,10,7,545,6.1,0,0,0,0,0,0,2,0,0.1,0.1,0.2,0.2,10,16,4,0.00,0.00,0.00,0.00,0.00,0.01,0.03,0.04,0.01,0.04
68,Riccardo Calafiori,ITA,DF,Arsenal,22-212,2002,8,6,507,5.6,1,0,1,1,0,0,1,0,0.5,0.5,0.1,0.6,5,22,12,0.18,0.00,0.18,0.18,0.18,0.10,0.02,0.11,0.10,0.11
69,Dominic Calvert-Lewin,ENG,FW,Everton,27-276,1997,15,14,1159,12.9,2,1,3,2,0,0,1,0,4.4,4.4,0.4,4.7,18,12,81,0.16,0.08,0.23,0.16,0.23,0.34,0.03,0.37,0.34,0.37
70,Diego Carlos,BRA,DF,Aston Villa,31-277,1993,9,7,740,8.2,0,0,0,0,0,0,1,0,0.6,0.6,0.0,0.6,3,34,0,0.00,0.00,0.00,0.00,0.00,0.08,0.00,0.08,0.08,0.08
71,Fabio Carvalho,POR,"FW,MF",Brentford,22-109,2002,15,3,419,4.7,1,1,2,1,0,0,1,0,2.1,2.1,0.5,2.7,8,16,21,0.21,0.21,0.43,0.21,0.43,0.46,0.11,0.57,0.46,0.57
72,Casemiro,BRA,MF,Manchester Utd,32-298,1992,12,9,745,8.3,1,0,1,1,0,0,1,0,1.0,1.0,2.0,2.9,3,40,15,0.12,0.00,0.12,0.12,0.12,0.11,0.24,0.35,0.11,0.35
73,Kaelan Casey,ENG,DF,West Ham,20-050,2004,1,0,1,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
74,Matty Cash,POL,"DF,FW",Aston Villa,27-132,1997,10,9,740,8.2,1,0,1,1,0,0,3,0,0.1,0.1,0.2,0.3,15,18,24,0.12,0.00,0.12,0.12,0.12,0.01,0.02,0.03,0.01,0.03
75,Timothy Castagne,BEL,DF,Fulham,29-012,1995,6,1,183,2.0,0,0,0,0,0,0,0,0,0.1,0.1,0.0,0.1,0,5,6,0.00,0.00,0.00,0.00,0.00,0.03,0.00,0.03,0.03,0.03
76,Trevoh Chalobah,ENG,DF,Crystal Palace,25-165,1999,10,10,880,9.8,2,0,2,2,0,0,1,0,0.9,0.9,0.4,1.3,6,26,4,0.20,0.00,0.20,0.20,0.20,0.09,0.04,0.13,0.09,0.13
77,Conor Chaplin,ENG,"MF,FW",Ipswich Town,27-305,1997,14,6,553,6.1,1,1,2,1,0,0,1,0,1.2,1.2,0.4,1.6,10,24,17,0.16,0.16,0.33,0.16,0.33,0.19,0.06,0.25,0.19,0.25
78,Federico Chiesa,ITA,FW,Liverpool,27-053,1997,1,0,19,0.2,0,0,0,0,0,0,0,0,0.2,0.2,0.0,0.2,1,0,2,0.00,0.00,0.00,0.00,0.00,0.76,0.00,0.76,0.76,0.76
79,Chiquinho,POR,MF,Wolves,24-316,2000,1,0,7,0.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.42,0.42,0.00,0.42
80,Hamza Choudhury,ENG,MF,Leicester City,27-077,1997,2,1,73,0.8,0,0,0,0,0,0,0,0,0.0,0.0,0.1,0.1,2,1,1,0.00,0.00,0.00,0.00,0.00,0.00,0.07,0.07,0.00,0.07
81,Ryan Christie,SCO,MF,Bournemouth,29-299,1995,15,13,1044,11.6,1,0,1,1,0,0,5,0,0.8,0.8,1.5,2.4,16,79,26,0.09,0.00,0.09,0.09,0.09,0.07,0.13,0.20,0.07,0.20
82,Harry Clarke,ENG,DF,Ipswich Town,23-290,2001,5,3,288,3.2,0,0,0,0,0,0,3,1,0.1,0.1,0.0,0.1,4,11,2,0.00,0.00,0.00,0.00,0.00,0.03,0.01,0.04,0.03,0.04
83,Jack Clarke,ENG,FW,Ipswich Town,24-024,2000,14,4,504,5.6,0,2,2,0,0,0,1,0,0.8,0.8,1.1,1.9,11,15,26,0.00,0.36,0.36,0.00,0.36,0.14,0.20,0.34,0.14,0.34
84,Nathaniel Clyne,ENG,"DF,MF",Crystal Palace,33-256,1991,7,3,302,3.4,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,3,6,5,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
85,Conor Coady,ENG,DF,Leicester City,31-296,1993,5,4,368,4.1,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0,7,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
86,Séamus Coleman,IRL,DF,Everton,36-067,1988,1,1,90,1.0,0,0,0,0,0,0,0,0,0.6,0.6,0.0,0.6,0,6,2,0.00,0.00,0.00,0.00,0.00,0.57,0.00,0.57,0.57,0.57
87,Nathan Collins,IRL,DF,Brentford,23-231,2001,16,16,1440,16.0,2,1,3,2,0,0,2,0,2.0,2.0,1.3,3.2,13,60,7,0.12,0.06,0.19,0.12,0.19,0.12,0.08,0.20,0.12,0.20
88,Toby Collyer,ENG,MF,Manchester Utd,20-349,2004,1,0,45,0.5,0,0,0,0,0,0,0,0,0.0,0.0,0.1,0.1,0,2,2,0.00,0.00,0.00,0.00,0.00,0.00,0.15,0.15,0.00,0.15
89,Levi Colwill,ENG,DF,Chelsea,21-295,2003,15,15,1349,15.0,0,0,0,0,0,0,3,0,0.4,0.4,0.7,1.0,4,59,0,0.00,0.00,0.00,0.00,0.00,0.02,0.04,0.07,0.02,0.07
90,Lewis Cook,ENG,MF,Bournemouth,27-318,1997,15,14,1267,14.1,1,3,4,1,0,0,4,0,0.6,0.6,2.3,2.8,17,83,21,0.07,0.21,0.28,0.07,0.28,0.04,0.16,0.20,0.04,0.20
91,Maxwel Cornet,CIV,FW,Southampton,28-081,1996,2,1,72,0.8,0,0,0,0,0,0,1,0,0.2,0.2,0.0,0.2,1,0,5,0.00,0.00,0.00,0.00,0.00,0.20,0.00,0.20,0.20,0.20
92,Vladimír Coufal,CZE,DF,West Ham,32-117,1992,9,4,417,4.6,0,0,0,0,0,0,2,0,0.2,0.2,0.3,0.5,7,19,17,0.00,0.00,0.00,0.00,0.00,0.05,0.07,0.11,0.05,0.11
93,Aaron Cresswell,ENG,DF,West Ham,35-002,1989,5,0,32,0.4,0,0,0,0,0,0,1,0,0.0,0.0,0.1,0.1,1,3,1,0.00,0.00,0.00,0.00,0.00,0.10,0.28,0.38,0.10,0.38
94,Marc Cucurella,ESP,DF,Chelsea,26-148,1998,15,13,1174,13.0,1,1,2,1,0,0,8,1,0.2,0.2,0.9,1.0,15,43,41,0.08,0.08,0.15,0.08,0.15,0.01,0.07,0.08,0.01,0.08
95,Jorge Cuenca,ESP,DF,Fulham,25-030,1999,4,1,93,1.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,3,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
96,Matheus Cunha,BRA,"MF,FW",Wolves,25-204,1999,16,15,1335,14.8,8,3,11,8,0,0,2,0,3.8,3.8,4.3,8.1,55,60,89,0.54,0.20,0.74,0.54,0.74,0.26,0.29,0.55,0.26,0.55
97,Patson Daka,ZAM,"FW,MF",Leicester City,26-069,1998,5,0,112,1.2,1,0,1,1,0,0,0,0,0.2,0.2,0.0,0.2,3,0,5,0.80,0.00,0.80,0.80,0.80,0.17,0.00,0.17,0.17,0.17
98,Diogo Dalot,POR,DF,Manchester Utd,25-274,1999,16,16,1406,15.6,0,1,1,0,0,0,3,0,0.9,0.9,1.2,2.0,22,52,67,0.00,0.06,0.06,0.00,0.06,0.05,0.07,0.13,0.05,0.13
99,Mikkel Damsgaard,DEN,"MF,FW",Brentford,24-167,2000,16,13,1100,12.2,2,4,6,2,0,0,0,0,1.5,1.5,3.7,5.2,25,81,44,0.16,0.33,0.49,0.16,0.49,0.12,0.31,0.43,0.12,0.43
100,Danilo,BRA,MF,Nott'ham Forest,23-232,2001,1,1,14,0.2,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
101,Ben Davies,WAL,DF,Tottenham,31-237,1993,4,3,271,3.0,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,3,11,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
102,Leif Davis,ENG,DF,Ipswich Town,24-340,2000,16,16,1440,16.0,1,2,3,1,0,0,2,0,0.6,0.6,3.2,3.8,28,33,68,0.06,0.12,0.19,0.06,0.19,0.04,0.20,0.24,0.04,0.24
103,Craig Dawson,ENG,DF,Wolves,34-225,1990,12,9,886,9.8,0,0,0,0,0,0,2,0,0.5,0.5,0.0,0.5,6,19,5,0.00,0.00,0.00,0.00,0.00,0.05,0.00,0.05,0.05,0.05
104,Kevin De Bruyne,BEL,MF,Manchester City,33-172,1991,10,7,627,7.0,2,2,4,2,0,0,2,0,2.1,2.1,3.7,5.8,20,73,68,0.29,0.29,0.57,0.29,0.57,0.30,0.53,0.83,0.30,0.83
105,Liam Delap,ENG,FW,Ipswich Town,21-313,2003,16,15,1186,13.2,6,1,7,6,0,0,4,0,4.4,4.4,1.3,5.7,25,15,52,0.46,0.08,0.53,0.46,0.53,0.33,0.10,0.44,0.33,0.44
106,Sepp van den Berg,NED,DF,Brentford,22-363,2001,14,13,1174,13.0,0,0,0,0,0,0,1,0,0.6,0.6,0.1,0.8,5,38,21,0.00,0.00,0.00,0.00,0.00,0.05,0.01,0.06,0.05,0.06
107,Justin Devenny,NIR,MF,Crystal Palace,21-067,2003,6,2,207,2.3,1,0,1,1,0,0,0,0,0.5,0.5,0.3,0.8,3,4,3,0.43,0.00,0.43,0.43,0.43,0.20,0.13,0.33,0.20,0.33
