,,,,,,,,SCA,SCA,SCA Types,SCA Types,SCA Types,SCA Types,SCA Types,SCA Types,GCA,GCA,GCA Types,GCA Types,GCA Types,GCA Types,GCA Types,GCA Types
Rk,Player,Nation,Pos,Squad,Age,Born,90s,SCA,SCA90,PassLive,PassDead,TO,Sh,Fld,Def,GCA,GCA90,PassLive,PassDead,TO,Sh,Fld,Def
241,Ibrahima Konaté,FRA,DF,Liverpool,25-206,1999,10.8,8,0.74,6,0,0,2,0,0,2,0.18,2,0,0,0,0,0
242,Ezri Konsa,ENG,DF,Aston Villa,27-055,1997,13.1,10,0.76,7,1,1,1,0,0,2,0.15,2,0,0,0,0,0
243,Mateo Kovačić,CRO,MF,Manchester City,30-225,1994,10.0,34,3.39,27,0,3,3,1,0,4,0.40,2,0,1,1,0,0
244,Caleb Kporha,ENG,DF,Crystal Palace,18-155,2006,0.0,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0
245,Emil Krafth,SWE,DF,Newcastle Utd,30-137,1994,2.7,3,1.12,2,0,0,1,0,0,0,0.00,0,0,0,0,0,0
246,Mohammed Kudus,GHA,"MF,FW",West Ham,24-137,2000,10.0,45,4.50,33,0,8,2,0,2,1,0.10,1,0,0,0,0,0
247,Dejan Kulusevski,SWE,"MF,FW",Tottenham,24-236,2000,13.7,75,5.49,56,9,6,1,3,0,5,0.37,4,0,1,0,0,0
248,Maxence Lacroix,FRA,DF,Crystal Palace,24-255,2000,13.0,15,1.15,13,1,0,1,0,0,3,0.23,2,1,0,0,0,0
249,Adam Lallana,ENG,MF,Southampton,36-221,1988,3.5,7,2.00,6,0,0,0,1,0,2,0.57,2,0,0,0,0,0
250,Tariq Lamptey,GHA,DF,Brighton,24-078,2000,2.6,5,1.91,5,0,0,0,0,0,2,0.76,2,0,0,0,0,0
251,Will Lankshear,ENG,FW,Tottenham,19-241,2005,0.1,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0
252,Roméo Lavia,BEL,MF,Chelsea,20-346,2004,5.3,10,1.89,10,0,0,0,0,0,2,0.38,2,0,0,0,0,0
253,Mario Lemina,GAB,"MF,DF",Wolves,31-107,1993,14.8,25,1.69,20,0,2,2,0,1,5,0.34,5,0,0,0,0,0
254,Bernd Leno,GER,GK,Fulham,32-288,1992,16.0,3,0.19,3,0,0,0,0,0,1,0.06,1,0,0,0,0,0
255,Jefferson Lerma,COL,MF,Crystal Palace,30-053,1994,8.4,11,1.31,10,0,0,1,0,0,0,0.00,0,0,0,0,0,0
256,Rico Lewis,ENG,"DF,MF",Manchester City,20-026,2004,11.4,19,1.67,18,0,0,0,1,0,2,0.18,2,0,0,0,0,0
257,Keane Lewis-Potter,ENG,"DF,FW",Brentford,23-299,2001,13.3,27,2.03,18,0,3,1,4,1,5,0.38,4,0,0,0,1,0
258,Myles Lewis-Skelly,ENG,DF,Arsenal,18-082,2006,0.9,2,2.14,2,0,0,0,0,0,0,0.00,0,0,0,0,0,0
259,Matthijs de Ligt,NED,DF,Manchester Utd,25-127,1999,12.7,5,0.40,5,0,0,0,0,0,0,0.00,0,0,0,0,0,0
260,Victor Lindelöf,SWE,"DF,MF",Manchester Utd,30-153,1994,0.7,2,2.90,2,0,0,0,0,0,0,0.00,0,0,0,0,0,0
261,Jesper Lindstrøm,DEN,FW,Everton,24-292,2000,5.8,24,4.17,15,5,1,2,1,0,0,0.00,0,0,0,0,0,0
262,Valentino Livramento,ENG,DF,Newcastle Utd,22-035,2002,12.6,16,1.27,16,0,0,0,0,0,0,0.00,0,0,0,0,0,0
263,Sean Longstaff,ENG,MF,Newcastle Utd,27-048,1997,7.6,14,1.83,12,0,1,1,0,0,2,0.26,1,0,0,1,0,0
264,Saša Lukić,SRB,MF,Fulham,28-126,1996,9.7,18,1.85,13,3,0,1,0,1,0,0.00,0,0,0,0,0,0
265,Joe Lumley,ENG,GK,Southampton,29-306,1995,3.0,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0
266,Massimo Luongo,AUS,MF,Ipswich Town,32-083,1992,1.6,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0
267,Ian Maatsen,NED,DF,Aston Villa,22-282,2002,3.2,22,6.80,16,2,1,2,0,1,4,1.24,4,0,0,0,0,0
268,Alexis Mac Allister,ARG,MF,Liverpool,25-359,1998,11.0,44,4.02,35,5,1,1,1,1,3,0.27,3,0,0,0,0,0
269,James Maddison,ENG,MF,Tottenham,28-024,1996,11.4,60,5.28,42,7,4,3,4,0,13,1.14,9,1,2,1,0,0
270,Noni Madueke,ENG,FW,Chelsea,22-282,2002,11.4,40,3.52,27,0,5,5,2,1,7,0.62,4,0,0,1,1,1
271,Gabriel Magalhães,BRA,DF,Arsenal,26-364,1997,13.1,15,1.15,12,0,0,2,1,0,1,0.08,0,0,0,0,1,0
272,Edmond-Paris Maghoma,ENG,MF,Brentford,23-223,2001,0.3,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0
273,Harry Maguire,ENG,DF,Manchester Utd,31-287,1993,5.0,4,0.80,4,0,0,0,0,0,0,0.00,0,0,0,0,0,0
274,Kobbie Mainoo,ENG,MF,Manchester Utd,19-242,2005,9.1,13,1.43,11,0,1,0,1,0,1,0.11,1,0,0,0,0,0
275,Tyrell Malacia,NED,DF,Manchester Utd,25-122,1999,0.5,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0
276,Orel Mangala,BEL,MF,Everton,26-274,1998,7.5,17,2.26,12,1,2,1,1,0,1,0.13,0,0,0,0,1,0
277,Ryan Manning,IRL,DF,Southampton,28-186,1996,7.3,16,2.19,9,6,0,0,0,1,0,0.00,0,0,0,0,0,0
278,Gabriel Martinelli,BRA,"MF,FW",Arsenal,23-182,2001,9.5,23,2.42,20,0,2,1,0,0,2,0.21,2,0,0,0,0,0
279,Emiliano Martínez,ARG,GK,Aston Villa,32-106,1992,15.5,3,0.19,2,1,0,0,0,0,0,0.00,0,0,0,0,0,0
280,Lisandro Martínez,ARG,DF,Manchester Utd,26-334,1998,12.8,14,1.09,12,0,0,1,0,1,1,0.08,1,0,0,0,0,0
281,Pape Matar Sarr,SEN,MF,Tottenham,22-094,2002,9.5,23,2.42,19,1,1,1,0,1,5,0.53,3,0,1,1,0,0
282,Jean-Philippe Mateta,FRA,FW,Crystal Palace,27-172,1997,13.0,23,1.76,17,0,1,4,1,0,3,0.23,1,0,1,1,0,0
283,Stephy Mavididi,ENG,"FW,MF",Leicester City,26-200,1998,8.4,29,3.43,24,2,2,1,0,0,6,0.71,5,0,1,0,0,0
284,Konstantinos Mavropanos,GRE,DF,West Ham,27-006,1997,10.6,10,0.94,7,0,0,2,0,1,0,0.00,0,0,0,0,0,0
285,Noussair Mazraoui,MAR,DF,Manchester Utd,27-033,1997,12.9,17,1.32,16,0,0,0,1,0,1,0.08,1,0,0,0,0,0
286,Bryan Mbeumo,CMR,FW,Brentford,25-132,1999,15.9,57,3.58,41,9,5,1,1,0,8,0.50,6,0,2,0,0,0
287,James Mcatee,ENG,"FW,MF",Manchester City,22-060,2002,0.0,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0
288,Kasey McAteer,IRL,"FW,MF",Leicester City,23-025,2001,3.7,8,2.16,7,0,0,0,1,0,1,0.27,1,0,0,0,0,0
289,Alex McCarthy,ENG,GK,Southampton,35-014,1989,4.0,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0
290,John McGinn,SCO,"FW,MF",Aston Villa,30-060,1994,10.9,35,3.22,27,3,0,3,1,1,3,0.28,3,0,0,0,0,0
291,Dwight McNeil,ENG,"MF,FW",Everton,25-025,1999,12.7,60,4.74,33,18,4,2,2,1,6,0.47,3,1,1,0,0,1
292,Scott McTominay,SCO,MF,Manchester Utd,28-009,1996,0.2,1,4.74,0,0,0,1,0,0,0,0.00,0,0,0,0,0,0
293,Ben Mee,ENG,"DF,MF",Brentford,35-087,1989,0.1,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0
294,Jayden Meghoma,ENG,DF,Brentford,18-172,2006,0.1,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0
295,Mikel Merino,ESP,MF,Arsenal,28-178,1996,5.3,11,2.08,9,0,0,1,1,0,0,0.00,0,0,0,0,0,0
296,Nikola Milenković,SRB,DF,Nott'ham Forest,27-066,1997,15.0,10,0.67,8,0,0,1,0,1,2,0.13,2,0,0,0,0,0
297,James Milner,ENG,MF,Brighton,38-348,1986,1.9,8,4.26,5,2,0,0,1,0,0,0.00,0,0,0,0,0,0
298,Tyrone Mings,ENG,DF,Aston Villa,31-279,1993,1.0,1,1.00,1,0,0,0,0,0,0,0.00,0,0,0,0,0,0
299,Yankuba Minteh,GAM,"FW,MF",Brighton,20-148,2004,5.7,19,3.35,8,4,5,1,1,0,4,0.71,1,0,2,1,0,0
300,Tyrick Mitchell,ENG,DF,Crystal Palace,25-107,1999,15.4,38,2.47,35,1,0,1,1,0,2,0.13,2,0,0,0,0,0
301,Kaoru Mitoma,JPN,"FW,MF",Brighton,27-211,1997,15.1,59,3.90,48,0,3,3,4,1,6,0.40,5,0,0,0,1,0
302,Jakub Moder,POL,MF,Brighton,25-254,1999,0.1,1,18.00,1,0,0,0,0,0,0,0.00,0,0,0,0,0,0
303,Mikey Moore,ENG,FW,Tottenham,17-128,2007,0.9,5,5.29,3,2,0,0,0,0,0,0.00,0,0,0,0,0,0
304,Morato,BRA,DF,Nott'ham Forest,23-170,2001,1.9,2,1.03,2,0,0,0,0,0,0,0.00,0,0,0,0,0,0
305,Álex Moreno,ESP,DF,Nott'ham Forest,31-192,1993,8.8,10,1.14,10,0,0,0,0,0,2,0.23,2,0,0,0,0,0
306,Sam Morsy,EGY,MF,Ipswich Town,33-098,1991,14.9,24,1.61,22,2,0,0,0,0,1,0.07,1,0,0,0,0,0
307,Yerson Mosquera,COL,DF,Wolves,23-229,2001,4.9,5,1.02,5,0,0,0,0,0,0,0.00,0,0,0,0,0,0
308,Mason Mount,ENG,"MF,FW",Manchester Utd,25-342,1999,2.7,8,2.91,5,2,0,1,0,0,0,0.00,0,0,0,0,0,0
309,Mykhailo Mudryk,UKR,FW,Chelsea,23-347,2001,1.7,6,3.60,4,1,0,0,1,0,0,0.00,0,0,0,0,0,0
310,Rodrigo Muniz,BRA,FW,Fulham,23-227,2001,5.2,8,1.52,6,0,1,0,1,0,0,0.00,0,0,0,0,0,0
311,Daniel Muñoz,COL,DF,Crystal Palace,28-205,1996,15.0,35,2.33,27,2,1,5,0,0,2,0.13,1,0,0,1,0,0
312,Arijanet Muric,KVX,GK,Ipswich Town,26-040,1998,15.0,1,0.07,0,1,0,0,0,0,0,0.00,0,0,0,0,0,0
313,Murillo,BRA,DF,Nott'ham Forest,22-166,2002,15.7,20,1.27,15,2,0,2,0,1,1,0.06,1,0,0,0,0,0
314,Jacob Murphy,ENG,FW,Newcastle Utd,29-297,1995,7.9,28,3.53,22,4,1,0,1,0,5,0.63,5,0,0,0,0,0
315,Vitaliy Mykolenko,UKR,DF,Everton,25-202,1999,12.3,15,1.22,14,0,0,1,0,0,1,0.08,0,0,0,1,0,0
316,Iliman Ndiaye,SEN,FW,Everton,24-286,2000,13.0,33,2.55,27,0,3,0,3,0,3,0.23,3,0,0,0,0,0
317,Wilfred Ndidi,NGA,MF,Leicester City,28-001,1996,13.5,16,1.19,14,0,1,1,0,0,3,0.22,3,0,0,0,0,0
