,,,,,,,,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Expected,Expected,Expected,Expected,Expected
Rk,Player,Nation,Pos,Squad,Age,Born,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK,PK,PKatt,xG,npxG,npxG/Sh,G-xG,np:G-xG
374,Morgan Rogers,ENG,"MF,FW",Aston Villa,22-144,2002,14.6,4,28,8,28.6,1.92,0.55,0.14,0.50,17.3,0,0,0,3.2,3.2,0.11,+0.8,+0.8
375,Cristian Romero,ARG,DF,Tottenham,26-234,1998,10.8,1,11,4,36.4,1.02,0.37,0.09,0.25,9.4,0,0,0,1.1,1.1,0.10,-0.1,-0.1
376,Georginio Rutter,FRA,"FW,MF",Brighton,22-241,2002,10.3,2,32,6,18.8,3.12,0.58,0.06,0.33,15.5,0,0,0,2.6,2.6,0.08,-0.6,-0.6
377,José Sá,POR,GK,Wolves,31-335,1993,9.0,0,0,0,0,0.00,0.00,0,0,0,0,0,0,0.0,0.0,0,0.0,0.0
378,Bukayo Saka,ENG,"FW,MF",Arsenal,23-103,2001,13.8,5,45,17,37.8,3.25,1.23,0.09,0.24,15.9,0,1,1,4.2,3.4,0.08,+0.8,+0.6
379,Mohamed Salah,EGY,FW,Liverpool,32-185,1992,14.6,13,47,23,48.9,3.21,1.57,0.19,0.39,15.1,0,4,4,10.6,7.5,0.16,+2.4,+1.5
380,William Saliba,FRA,DF,Arsenal,23-268,2001,14.3,2,3,2,66.7,0.21,0.14,0.67,1.00,2.5,0,0,0,1.9,1.9,0.63,+0.1,+0.1
381,Robert Sánchez,ESP,GK,Chelsea,27-029,1997,15.0,0,0,0,0,0.00,0.00,0,0,0,0,0,0,0.0,0.0,0,0.0,0.0
382,Jadon Sancho,ENG,FW,Chelsea,24-267,2000,6.4,2,8,3,37.5,1.24,0.47,0.25,0.67,13.4,0,0,0,0.7,0.7,0.09,+1.3,+1.3
383,Ibrahim Sangaré,CIV,MF,Nott'ham Forest,27-015,1997,2.4,0,1,1,100.0,0.42,0.42,0.00,0.00,32.0,0,0,0,0.0,0.0,0.02,0.0,0.0
384,Pablo Sarabia,ESP,"MF,FW",Wolves,32-220,1992,2.0,1,4,4,100.0,1.99,1.99,0.25,0.25,19.1,0,0,0,1.4,1.4,0.36,-0.4,-0.4
385,Jeremy Sarmiento,ECU,MF,Brighton,22-184,2002,0.1,0,0,0,0,0.00,0.00,0,0,0,0,0,0,0.0,0.0,0,0.0,0.0
386,Ismaila Sarr,SEN,"MF,FW",Crystal Palace,26-296,1998,10.2,3,23,14,60.9,2.26,1.38,0.13,0.21,12.9,0,0,0,3.0,3.0,0.13,0.0,0.0
387,Sávio,BRA,"FW,MF",Manchester City,20-251,2004,7.9,0,20,7,35.0,2.52,0.88,0.00,0.00,19.6,1,0,0,2.1,2.1,0.10,-2.1,-2.1
388,Oliver Scarles,ENG,DF,West Ham,19-005,2005,0.2,0,0,0,0,0.00,0.00,0,0,0,0,0,0,0.0,0.0,0,0.0,0.0
389,Kevin Schade,GER,"FW,MF",Brentford,23-020,2001,7.5,4,19,9,47.4,2.52,1.19,0.21,0.44,11.3,0,0,0,3.5,3.5,0.18,+0.5,+0.5
390,Fabian Schär,SUI,DF,Newcastle Utd,32-363,1991,13.3,2,14,2,14.3,1.05,0.15,0.14,1.00,19.7,2,0,0,1.1,1.1,0.08,+0.9,+0.9
391,Jeffrey Schlupp,GHA,"MF,DF",Crystal Palace,31-360,1992,1.0,0,3,2,66.7,2.93,1.96,0.00,0.00,16.2,0,0,0,0.1,0.1,0.04,-0.1,-0.1
392,Alex Scott,ENG,MF,Bournemouth,21-118,2003,2.9,0,3,1,33.3,1.03,0.34,0.00,0.00,24.0,0,0,0,0.1,0.1,0.05,-0.1,-0.1
393,Matz Sels,BEL,GK,Nott'ham Forest,32-295,1992,16.0,0,0,0,0,0.00,0.00,0,0,0,0,0,0,0.0,0.0,0,0.0,0.0
394,Nélson Semedo,POR,DF,Wolves,31-031,1993,12.7,0,7,3,42.9,0.55,0.24,0.00,0.00,24.2,0,0,0,0.4,0.4,0.05,-0.4,-0.4
395,Antoine Semenyo,GHA,FW,Bournemouth,24-345,2000,14.4,4,63,15,23.8,4.37,1.04,0.06,0.27,17.5,0,0,0,4.8,4.8,0.08,-0.8,-0.8
396,Marcos Senesi,ARG,DF,Bournemouth,27-221,1997,10.2,0,2,0,0.0,0.20,0.00,0.00,0,6.0,0,0,0,0.8,0.8,0.40,-0.8,-0.8
397,Ryan Sessegnon,ENG,MF,Fulham,24-213,2000,0.1,0,0,0,0,0.00,0.00,0,0,0,0,0,0,0.0,0.0,0,0.0,0.0
398,Luke Shaw,ENG,DF,Manchester Utd,29-158,1995,0.8,0,0,0,0,0.00,0.00,0,0,0,0,0,0,0.0,0.0,0,0.0,0.0
399,Bernardo Silva,POR,"MF,FW",Manchester City,30-129,1994,14.3,1,21,7,33.3,1.47,0.49,0.05,0.14,11.6,0,0,0,2.4,2.4,0.12,-1.4,-1.4
400,Jota Silva,POR,"FW,MF",Nott'ham Forest,25-138,1999,5.6,0,9,2,22.2,1.61,0.36,0.00,0.00,16.0,0,0,0,0.5,0.5,0.06,-0.5,-0.5
401,Eric da Silva Moreira,GER,"MF,DF",Nott'ham Forest,18-228,2006,0.3,0,0,0,0,0.00,0.00,0,0,0,0,0,0,0.0,0.0,0,0.0,0.0
402,Jahmai Simpson-Pusey,ENG,DF,Manchester City,19-043,2005,1.0,0,0,0,0,0.00,0.00,0,0,0,0,0,0,0.0,0.0,0,0.0,0.0
